,CondTempCirc1,Data_EVD_Emb_1.EVD.Variables.EEV_PosPercent.Val,DscgTempCirc1,EbmpapstFan_1_Mng.ElectrInfo_EBM_1.CurrPower,EvapTempCirc1,ExtTemp,FiltPress,InvInfoCirc1.Info_MotPwr,PumpPress,SubCoolCir1,SuctSH_Circ1,UnitStatus,W_InTempUser,W_OutTempEvap,W_OutTempUser,WaterFlowMeter,timestamp
320,40.2,76.3,74.4,35.8,3.4,31.9,1.9,2.5,3.6,2.6,7.5,9.0,11.0,9.3,9.4,88.7,2020-10-07T13:07:11.108Z
321,44.6,58.8,63.5,44.1,4.7,37.2,0.4,1.6,4.5,3.2,7.7,9.0,12.6,10.0,10.6,35.7,2020-09-03T01:41:30.802Z
322,44.6,58.5,63.5,44.1,4.7,37.3,0.4,1.6,4.5,3.1,7.7,9.0,12.6,10.0,10.6,35.7,2020-09-03T01:41:31.285Z
323,36.6,64.4,70.0,32.6,2.9,28.6,1.1,1.5,4.1,2.5,7.2,9.0,10.2,8.3,8.4,65.1,2020-10-08T01:30:10.882Z
324,38.6,11.0,62.3,34.4,6.4,35.4,0.4,0.4,4.5,2.0,7.3,9.0,12.6,11.6,11.3,36.0,2020-09-03T00:52:16.021Z
325,46.0,77.3,81.5,45.6,5.7,37.9,0.7,2.9,4.2,2.2,6.9,9.0,13.2,10.1,10.0,51.4,2020-08-21T07:13:57.176Z
326,41.7,56.0,78.7,36.5,5.3,38.7,0.5,1.2,4.4,2.4,7.2,9.0,13.2,9.6,9.4,41.0,2020-09-02T13:26:47.553Z
327,41.1,46.9,63.8,36.2,9.7,36.1,0.5,0.9,4.3,2.2,5.9,9.0,15.2,13.6,13.5,44.1,2020-08-21T20:38:26.178Z
328,41.1,47.7,63.4,36.1,10.0,36.1,0.5,0.9,4.3,2.1,5.4,9.0,15.2,13.5,13.4,44.1,2020-08-21T20:39:56.348Z
329,41.4,44.0,64.5,36.6,9.6,36.3,0.5,0.9,4.3,2.7,6.1,9.0,15.4,13.5,13.3,44.1,2020-08-21T20:36:39.845Z
330,41.5,51.7,69.8,41.2,2.5,35.7,0.8,1.5,4.2,2.6,8.4,9.0,10.7,9.1,9.2,54.6,2020-08-12T22:46:53.537Z
331,44.7,79.6,80.0,40.9,6.6,39.1,0.5,2.9,4.4,2.4,8.3,9.0,15.6,11.7,11.8,41.1,2020-09-02T12:40:30.180Z
332,44.8,78.3,79.9,41.3,6.3,39.2,0.5,2.9,4.4,2.5,8.4,9.0,15.3,11.4,11.5,41.2,2020-09-02T12:42:19.876Z
333,42.1,63.1,78.1,39.6,3.2,38.4,0.6,1.9,4.3,2.5,8.5,9.0,11.8,9.1,9.1,46.0,2020-09-01T19:28:49.508Z
334,28.3,15.6,47.5,20.9,3.9,24.8,1.1,0.3,4.1,2.4,7.1,9.0,10.2,9.7,9.5,65.1,2020-10-08T06:55:34.014Z
335,47.5,77.5,83.4,42.6,6.6,38.9,0.6,3.0,4.3,2.3,7.2,9.0,14.4,11.1,11.2,46.3,2020-08-21T12:05:08.674Z
336,34.6,68.5,49.1,32.1,5.5,25.4,1.1,1.6,4.1,3.5,7.7,9.0,12.9,11.3,11.7,65.2,2020-10-08T01:22:34.432Z
337,36.8,71.3,64.3,30.8,3.9,27.5,1.1,1.8,4.1,2.9,7.7,9.0,11.6,9.5,9.7,64.6,2020-10-08T06:31:09.223Z
338,36.8,69.8,63.7,30.9,3.8,27.5,1.1,1.8,4.1,2.8,7.9,9.0,11.7,9.6,9.8,64.8,2020-10-08T06:30:48.019Z
339,41.8,60.4,67.6,40.3,5.3,37.4,0.4,1.7,4.5,2.6,8.5,9.0,13.8,10.9,11.2,36.0,2020-09-03T00:00:50.247Z
340,45.4,70.6,82.8,44.6,2.6,37.5,0.8,2.8,4.2,2.3,8.3,9.0,11.1,8.7,8.8,55.0,2020-08-12T21:14:07.437Z
341,45.2,70.0,84.3,44.3,2.5,37.6,0.8,2.8,4.2,2.3,8.1,9.0,10.8,8.4,8.5,54.9,2020-08-12T20:52:57.532Z
342,40.4,77.7,74.1,37.6,3.9,32.2,1.9,2.6,3.6,2.6,6.5,9.0,10.7,9.0,9.1,88.4,2020-10-07T14:10:24.178Z
343,38.5,11.5,62.5,32.6,5.9,35.3,0.7,0.4,4.2,3.0,7.4,9.0,12.4,11.8,11.4,51.8,2020-08-20T14:45:45.559Z
344,38.4,12.5,62.6,32.4,5.7,35.2,0.7,0.4,4.2,2.9,7.6,9.0,12.5,11.8,11.4,51.7,2020-08-20T14:45:48.617Z
345,47.0,71.5,84.4,42.7,5.5,38.2,0.7,2.7,4.2,2.2,7.5,9.0,13.3,10.4,10.3,52.1,2020-08-20T14:27:17.316Z
346,43.4,63.1,74.5,39.3,6.3,38.6,0.6,1.7,4.3,2.4,7.3,9.0,13.8,11.0,11.2,45.9,2020-09-01T16:18:45.747Z
347,34.8,58.8,60.3,30.8,2.6,27.5,1.1,1.3,4.1,2.7,7.8,9.0,10.3,8.8,8.8,64.7,2020-10-08T01:02:20.548Z
348,34.8,59.0,60.2,30.8,2.6,27.6,1.1,1.3,4.1,2.7,7.8,9.0,10.3,8.8,8.8,64.6,2020-10-08T01:02:17.849Z
349,38.2,73.5,73.8,34.9,1.8,29.8,1.1,2.4,4.1,2.8,7.8,9.0,9.8,7.6,7.8,64.8,2020-10-07T18:39:39.291Z
350,38.4,76.7,72.3,35.0,2.5,29.8,1.1,2.4,4.1,2.7,7.1,9.0,9.8,7.6,7.8,64.9,2020-10-07T19:07:55.975Z
351,40.5,81.3,65.2,36.3,6.1,30.4,1.9,2.5,3.6,2.7,8.0,9.0,14.2,12.5,12.6,88.8,2020-10-07T14:02:03.469Z
352,28.7,24.0,46.9,20.0,6.1,24.9,1.1,0.4,4.1,2.2,8.2,9.0,13.8,13.2,13.0,64.9,2020-10-07T19:29:05.095Z
353,42.0,67.5,70.8,40.4,4.4,37.6,0.4,1.9,4.5,2.6,8.2,9.0,12.8,9.2,9.6,35.9,2020-09-03T01:43:07.952Z
